REF_DATE1,REF_DATE2,DGUID1,DGUID3,UOM2,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE1,COORDINATE2,COORDINATE3,COORDINATE4,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,GEO_British Columbia,GEO_Canada,GEO_Manitoba,GEO_New Brunswick,GEO_Newfoundland and Labrador,GEO_Northwest Territories,GEO_Ontario,GEO_Prince Edward Island,GEO_Quebec,GEO_Saskatchewan,GEO_nan,DGUID2_A,DGUID2_nan,UOM1_Number,UOM1_nan,UOM_ID_units,UOM_ID_nan,clazz
2011,2012,2016,211,223,0,101878344,3,9,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0
2011,2012,2016,224,223,0,66462639,6,4344,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2011,2012,2016,247,223,0,66462642,9,3630,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2012,2013,2016,259,223,0,66462644,11,29541,0,0,0,0,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2012,2013,2016,11124,223,0,66462634,1,46656,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2012,2013,2016,246,223,0,66462641,8,1290,0,0,0,0,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2012,2013,2016,213,223,0,66462638,5,282,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2012,2013,2016,210,223,0,66462635,2,582,0,0,0,0,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2012,2013,2016,261,223,0,66462646,13,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0.0
2012,2013,2016,235,223,0,66462640,7,6066,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0.0
2012,2013,2016,211,223,0,101878344,3,12,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0
2012,2013,2016,224,223,0,66462639,6,4476,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2012,2013,2016,247,223,0,66462642,9,4410,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2013,2014,2016,259,223,0,66462644,11,28716,0,0,0,0,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2013,2014,2016,11124,223,0,66462634,1,47253,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2013,2014,2016,246,223,0,66462641,8,1614,0,0,0,0,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2013,2014,2016,213,223,0,66462638,5,246,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
