REF_DATE1,DGUID1,DGUID3,Country of birth,UOM_ID,SCALAR_ID,VECTOR,COORDINATE1,COORDINATE2,COORDINATE3,COORDINATE4,VALUE,SYMBOL,TERMINATED,DECIMALS,REF_DATE2_Alberta,REF_DATE2_British Columbia,REF_DATE2_Canada,REF_DATE2_Manitoba,REF_DATE2_New Brunswick,REF_DATE2_Newfoundland and Labrador,REF_DATE2_Nova Scotia,REF_DATE2_Ontario,REF_DATE2_Prince Edward Island,REF_DATE2_Quebec,REF_DATE2_Saskatchewan,REF_DATE2_nan,GEO_Rate,GEO_nan,DGUID2_A,DGUID2_nan,Farm type_Rate,Farm type_nan,UOM1_All countries of birth,UOM1_All other countries,UOM1_Australia,UOM1_Austria,UOM1_Belgium,UOM1_Canada,UOM1_China,UOM1_Croatia,UOM1_Denmark,UOM1_France,UOM1_Germany,UOM1_Hungary,UOM1_India,UOM1_Ireland,UOM1_Italy,UOM1_Mexico,UOM1_Netherlands,UOM1_Poland,UOM1_Portugal,UOM1_Romania,UOM1_Russian Federation,UOM1_South Africa,UOM1_Switzerland,UOM1_Ukraine,UOM1_United Kingdom,UOM1_United States,UOM1_nan,UOM2_ Farm operators,UOM2_Farm operators,UOM2_nan,SCALAR_FACTOR_units,SCALAR_FACTOR_nan,STATUS_0,STATUS_E,STATUS_F,STATUS_nan,clazz
2016,2016,11124,1111,372,0,1001419332,1,8,23,-1,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0.0
2016,2016,11124,1111,372,0,1001419333,1,8,24,-1,435,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,1111,372,0,1001419334,1,8,25,-1,340,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,1111,372,0,1001419335,1,8,26,-1,465,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,1112,372,0,1001419336,1,9,1,-1,8010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,1112,372,0,1001419337,1,9,2,-1,6675,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,1112,372,0,1001419338,1,9,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.0
2016,2016,11124,1112,372,0,1001419339,1,9,4,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,1112,372,0,1001419340,1,9,5,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,1112,372,0,1001419341,1,9,6,-1,150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,1112,372,0,1001419342,1,9,7,-1,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0
2016,2016,11124,1112,372,0,1001419343,1,9,8,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,1112,372,0,1001419344,1,9,9,-1,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0
2016,2016,11124,1112,372,0,1001419345,1,9,10,-1,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,1112,372,0,1001419346,1,9,11,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.0
2016,2016,11124,1112,372,0,1001419347,1,9,12,-1,80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0
2016,2016,11124,1112,372,0,1001419348,1,9,13,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.0
2016,2016,11124,1112,372,0,1001419349,1,9,14,-1,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0
2016,2016,11124,1112,372,0,1001419350,1,9,15,-1,75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,1112,372,0,1001419351,1,9,16,-1,165,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,1112,372,0,1001419352,1,9,17,-1,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0
2016,2016,11124,1112,372,0,1001419353,1,9,18,-1,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0
2016,2016,11124,1112,372,0,1001419354,1,9,19,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.0
2016,2016,11124,1112,372,0,1001419355,1,9,20,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.0
2016,2016,11124,1112,372,0,1001419356,1,9,21,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.0
